Sample,Sample_name,Location,Rotation,Stage,Microhabitat,Depth,Replicate,Rot_Stage,Rot_Mic,Rot_Stage_Mic
D01,D1_KW1T1RHd30r1,Ki,W1,T1,RH,D30,R1,W1_T1,W1_RH,W1_T1_RH
D02,D2_KW1T1RAd30r1,Ki,W1,T1,RA,D30,R1,W1_T1,W1_RA,W1_T1_RA
D03,D3_KW1T1RHd60r1,Ki,W1,T1,RH,D60,R1,W1_T1,W1_RH,W1_T1_RH
D04,D4_KW1T1RAd60r1,Ki,W1,T1,RA,D60,R1,W1_T1,W1_RA,W1_T1_RA
D05,D5_KW1T1RHd30r2,Ki,W1,T1,RH,D30,R2,W1_T1,W1_RH,W1_T1_RH
D06,D6_KW1T1RAd30r2,Ki,W1,T1,RA,D30,R2,W1_T1,W1_RA,W1_T1_RA
D07,D7_KW1T1RHd60r2,Ki,W1,T1,RH,D60,R2,W1_T1,W1_RH,W1_T1_RH
D08,D8_KW1T1RAd60r2,Ki,W1,T1,RA,D60,R2,W1_T1,W1_RA,W1_T1_RA
D09,D9_KW1T1RHd30r3,Ki,W1,T1,RH,D30,R3,W1_T1,W1_RH,W1_T1_RH
D10,D10_KW1T1RAd30r3,Ki,W1,T1,RA,D30,R3,W1_T1,W1_RA,W1_T1_RA
D11,D11_KW1T1RHd60r3,Ki,W1,T1,RH,D60,R3,W1_T1,W1_RH,W1_T1_RH
D12,D12_KW1T1RAd60r3,Ki,W1,T1,RA,D60,R3,W1_T1,W1_RA,W1_T1_RA
D13,D13_KW2T1RHd30r1,Ki,W2,T1,RH,D30,R1,W2_T1,W2_RH,W2_T1_RH
D14,D14_KW2T1RAd30r1,Ki,W2,T1,RA,D30,R1,W2_T1,W2_RA,W2_T1_RA
D15,D15_KW2T1RHd60r1,Ki,W2,T1,RH,D60,R1,W2_T1,W2_RH,W2_T1_RH
D16,D16_KW2T1RAd60r1,Ki,W2,T1,RA,D60,R1,W2_T1,W2_RA,W2_T1_RA
D17,D17_KW2T1RHd30r2,Ki,W2,T1,RH,D30,R2,W2_T1,W2_RH,W2_T1_RH
D18,D18_KW2T1RAd30r2,Ki,W2,T1,RA,D30,R2,W2_T1,W2_RA,W2_T1_RA
D19,D19_KW2T1RHd60r2,Ki,W2,T1,RH,D60,R2,W2_T1,W2_RH,W2_T1_RH
D20,D20_KW2T1RAd60r2,Ki,W2,T1,RA,D60,R2,W2_T1,W2_RA,W2_T1_RA
D21,D21_KW2T1RHd30r3,Ki,W2,T1,RH,D30,R3,W2_T1,W2_RH,W2_T1_RH
D22,D22_KW2T1RAd30r3,Ki,W2,T1,RA,D30,R3,W2_T1,W2_RA,W2_T1_RA
D23,D23_KW2T1RHd60r3,Ki,W2,T1,RH,D60,R3,W2_T1,W2_RH,W2_T1_RH
D24,D24_KW2T1RAd60r3,Ki,W2,T1,RA,D60,R3,W2_T1,W2_RA,W2_T1_RA
D25,D25_KW1T2RHd30r1,Ki,W1,T2,RH,D30,R1,W1_T2,W1_RH,W1_T2_RH
D26,D26_KW1T2RHd60r1,Ki,W1,T2,RH,D60,R1,W1_T2,W1_RH,W1_T2_RH
D27,D27_KW1T2RHd30r2,Ki,W1,T2,RH,D30,R2,W1_T2,W1_RH,W1_T2_RH
D28,D28_KW1T2RHd60r2,Ki,W1,T2,RH,D60,R2,W1_T2,W1_RH,W1_T2_RH
D29,D29_KW1T2RHd30r3,Ki,W1,T2,RH,D30,R3,W1_T2,W1_RH,W1_T2_RH
D30,D30_KW1T2RHd60r3,Ki,W1,T2,RH,D60,R3,W1_T2,W1_RH,W1_T2_RH
D31,D31_KW2T2RHd30r1,Ki,W2,T2,RH,D30,R1,W2_T2,W2_RH,W2_T2_RH
D32,D32_KW2T2RHd60r1,Ki,W2,T2,RH,D60,R1,W2_T2,W2_RH,W2_T2_RH
D33,D33_KW2T2RHd30r2,Ki,W2,T2,RH,D30,R2,W2_T2,W2_RH,W2_T2_RH
D34,D34_KW2T2RHd60r2,Ki,W2,T2,RH,D60,R2,W2_T2,W2_RH,W2_T2_RH
D35,D35_KW2T2RHd30r3,Ki,W2,T2,RH,D30,R3,W2_T2,W2_RH,W2_T2_RH
D36,D36_KW2T2RHd60r3,Ki,W2,T2,RH,D60,R3,W2_T2,W2_RH,W2_T2_RH